component,explained_variance_ratio,cumulative_variance,eigenvalue,pca_score_std,max_abs_channel,max_abs_value,l2_norm
167,0.001584514826481403,0.8745687696553565,0.018629493459336312,0.13648990240796685,289,0.19262699062749053,1.0
168,0.0015542382422393344,0.8761230078975958,0.018273524920145567,0.13517960245593846,136,0.1764069064137149,1.0
169,0.0015519208524174424,0.8776749287500132,0.01824627885225895,0.13507878757324907,224,0.16938595495685735,1.0
170,0.0015406124251613727,0.8792155411751745,0.018113323156243057,0.13458574648246766,280,0.138710920781692,0.9999999999999999
171,0.0015248396247998573,0.8807403807999744,0.017927878832050288,0.13389502915362575,60,0.1498978081241262,1.0
172,0.0015170408162425016,0.8822574216162169,0.017836186504164343,0.1335521864447166,180,0.16642583316558585,1.0
173,0.0015076378039691801,0.8837650594201861,0.0177256331961635,0.13313764755381363,213,0.18137854020979688,1.0
174,0.0014745848739789382,0.885239644294165,0.017337022542117126,0.13167012775157896,64,0.17029021595297109,1.0
175,0.0014672320014995704,0.8867068762956646,0.017250573183946148,0.1313414374215013,21,0.15181303957447814,1.0
176,0.0014491682957004696,0.8881560445913651,0.017038194174667325,0.13053043390208785,333,0.19247999974533683,0.9999999999999999
177,0.0014290284766357195,0.8895850730680008,0.016801405839671345,0.12962023699897846,370,0.1496267098392396,1.0
178,0.0014154830957241102,0.891000556163725,0.01664214978167825,0.12900445644115652,250,0.1270142388261767,1.0
179,0.0014079149018620075,0.892408471065587,0.01655316884208924,0.1286591187677315,298,0.1910501940667142,1.0
180,0.0013954776946135646,0.8938039487602005,0.016406941828485466,0.12808958516790295,156,0.156754012659571,1.0000000000000002
181,0.0013787506538212924,0.8951826994140218,0.016210278287175684,0.12731959113653987,53,0.12910891330992535,1.0
182,0.0013612452466858934,0.8965439446607077,0.016004463319539114,0.1265087479960936,161,0.1657499978350723,0.9999999999999999
183,0.0013552107005620894,0.8978991553612699,0.015933513817732864,0.12622802310791714,251,0.14536258644909458,1.0
184,0.0013371806893141707,0.8992363360505841,0.01572153096279124,0.12538552931973945,221,0.15736080166963912,1.0
185,0.0013289104767249284,0.900565246527309,0.015624296232788278,0.12499718489945394,363,0.15584939912025594,1.0
186,0.0013212908016978335,0.9018865373290068,0.015534710017684975,0.12463831681182547,90,0.15499287793008976,0.9999999999999999
187,0.0012988729388155287,0.9031854102678223,0.015271138214532085,0.12357644684377393,371,0.1463513100553581,1.0
188,0.0012959675034819125,0.9044813777713042,0.015236978364690653,0.12343815603244668,40,0.1645678160258937,1.0
189,0.0012827241987351365,0.9057641019700393,0.015081273883396574,0.12280583814866691,350,0.1674449136413287,0.9999999999999999
190,0.00126933366885932,0.9070334356388986,0.01492383844349443,0.12216316320190154,122,0.1737390203745536,1.0
191,0.0012607411654460467,0.9082941768043447,0.014822814468545352,0.1217489813860689,157,0.15723038301947742,0.9999999999999999
192,0.001250424875267874,0.9095446016796125,0.014701523548961053,0.1212498393770526,150,0.16513250742810268,0.9999999999999999
193,0.0012400904780414778,0.910784692157654,0.014580019740780947,0.12074775252890195,121,0.15342385939545297,1.0
194,0.001217374359236882,0.9120020665168909,0.014312941276370825,0.1196367053891523,150,0.14894870234752425,1.0
195,0.0012105063328642681,0.9132125728497551,0.014232192361782704,0.11929875255752972,355,0.1718610196859977,1.0
196,0.001193505692967303,0.9144060785427224,0.014032312054907731,0.11845806032055282,352,0.16226838596746304,1.0
197,0.001179261538408481,0.9155853400811309,0.013864840359627597,0.1177490567250014,66,0.1474350500061947,1.0
198,0.0011654793509678866,0.9167508194320988,0.01370280011457034,0.11705895999269061,8,0.2138799627893605,1.0000000000000002
199,0.0011554041456966551,0.9179062235777955,0.013584343683892013,0.11655189266542183,270,0.15985225553713428,1.0
200,0.0011481540515228168,0.9190543776293183,0.013499102713133145,0.11618563901417914,313,0.16666414326500717,1.0
201,0.0011370732534130507,0.9201914508827314,0.01336882330365074,0.11562362779142825,96,0.1580129380995248,1.0
202,0.001123690780727486,0.9213151416634588,0.013211482593927567,0.11494121364387783,107,0.15895049401887917,1.0
203,0.0011146859502626173,0.9224298276137215,0.013105610798066734,0.11447973968378307,345,0.1699020361904115,1.0
204,0.0011031154854508319,0.9235329430991723,0.01296957426819008,0.11388403868931801,248,0.18322542503411277,1.0
205,0.0010845181744584946,0.9246174612736309,0.012750921543896964,0.11291997849759344,266,0.16883784385561149,1.0
206,0.0010769986068147974,0.9256944598804456,0.012662512313579842,0.11252782906276937,38,0.15475514990604744,1.0
